,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
36,Derek Gustafson,22,MIN,1,,0,0,0,0,7,7,1,0,0,0.1,26,,,,,,0,0,0,0
37,Jeff Hackett,33,MTL,15,,5,5,2,38,395,357,0.904,3.18,0,2.3,717,,,,104,-1.56,0,0,0,2
38,Dominik Hasek*,37,DET,65,,41,15,8,140,1654,1514,0.915,2.17,5,11.6,3872,,,,92,12.58,0,1,1,8
39,Johan Hedberg,28,PIT,66,,25,34,7,178,1851,1673,0.904,2.76,6,10.6,3877,,,,104,-7.25,0,1,1,22
40,Milan Hnilicka,28,ATL,60,,13,33,10,179,1956,1777,0.908,3.17,3,12.2,3367,,,,99,1.44,0,2,2,8
41,Johan Holmqvist,23,NYR,1,,0,0,0,0,2,2,1,0,0,0,9,,,,,,0,0,0,0
42,Jani Hurme,27,OTT,25,,12,9,1,54,578,524,0.907,2.48,3,3.5,1309,,,,101,-0.68,0,0,0,17
43,Arturs Irbe,34,CAR,51,,20,19,11,126,1282,1156,0.902,2.54,3,7,2974,,,,107,-7.74,0,1,1,10
44,Brent Johnson,24,STL,58,,34,20,4,127,1293,1166,0.902,2.18,5,7.1,3491,,,,106,-7.72,0,4,4,2
45,Curtis Joseph,34,TOR,51,,29,17,5,114,1210,1096,0.906,2.23,4,7.2,3065,,,,102,-2.38,0,1,1,10
46,Nikolai Khabibulin,29,TBL,70,,24,32,10,153,1914,1761,0.92,2.36,7,14.5,3896,,,,87,23.56,0,2,2,6
47,Trevor Kidd,29,FLA,33,,4,16,5,90,857,767,0.895,3.21,1,4,1683,,,,114,-10.94,0,1,1,0
48,Miikka Kiprusoff,25,SJS,20,,7,6,3,43,508,465,0.915,2.49,2,3.6,1037,,,,92,3.86,0,0,0,4
49,Dieter Kochan,27,TBL,5,,0,3,1,16,129,113,0.876,4.06,0,0.3,237,,,,,,0,0,0,0
50,Olaf Kölzig,31,WSH,71,,31,29,8,192,1977,1785,0.903,2.79,6,11.1,4131,,,,105,-9.62,0,1,1,8
51,Jean-Francois Labbe,29,CBJ,3,,1,1,0,6,68,62,0.912,3.07,0,0.5,117,,,,,,0,0,0,0
52,Simon Lajeunesse,21,OTT,1,,0,0,0,0,9,9,1,0,0,0.2,24,,,,,,0,0,0,0
53,Patrick Lalime,27,OTT,61,,27,24,8,148,1521,1373,0.903,2.48,7,8.5,3583,,,,105,-7.69,0,1,1,19
54,Jan Lasak,22,NSH,3,,0,3,0,13,104,91,0.875,4.4,0,0.3,177,,,,,,0,0,0,2
55,Manny Legace,28,DET,20,,10,6,2,45,503,458,0.911,2.42,1,3.3,1117,,,,97,1.4,0,1,1,0
56,Neil Little,30,PHI,1,,0,1,0,4,29,25,0.862,4,0,0,60,,,,,,0,0,0,10
57,Roberto Luongo,22,FLA,58,,16,33,4,140,1653,1513,0.915,2.77,4,11.6,3030,,,,92,12.49,0,1,1,2
58,Norm Maracle,27,ATL,1,,0,1,0,3,20,17,0.85,3,0,0,60,,,,,,0,0,0,0
59,Jussi Markkanen,26,EDM,14,,6,4,2,24,336,312,0.929,1.88,2,2.9,784,,,,77,7,0,0,0,0
60,Olivier Michaud,18,MTL,1,,0,0,0,0,14,14,1,0,0,0.2,18,,,,,,0,0,0,0
61,Evgeni Nabokov,26,SJS,67,,37,24,5,149,1818,1669,0.918,2.29,7,13.3,3901,,,,89,18.71,1,3,4,14
62,Mika Noronen,22,BUF,10,,4,3,1,23,217,194,0.894,2.66,0,1,518,,,,,,0,0,0,2
63,Pasi Nurminen,26,ATL,9,,2,5,0,28,275,247,0.898,3.78,0,1.4,465,,,,,,0,0,0,0
64,Chris Osgood,29,NYI,66,,32,25,6,156,1727,1571,0.91,2.5,4,11,3743,,,,98,3.31,0,4,4,10
65,Steve Passmore,29,CHI,23,,8,5,4,43,446,403,0.904,2.26,0,2.5,1142,,,,105,-1.86,0,1,1,2
66,Felix Potvin,30,LAK,71,,31,27,8,157,1686,1529,0.907,2.31,6,10.2,4071,,,,101,-1.47,0,1,1,19
67,Martin Prusek,26,OTT,1,,0,1,0,3,15,12,0.8,2.92,0,-0.1,62,,,,,,0,0,0,0
68,Andrew Raycroft,21,BOS,1,,0,0,1,3,29,26,0.897,2.77,0,0.1,65,,,,,,0,0,0,0
69,Damian Rhodes,32,ATL,15,,2,10,1,47,439,392,0.893,3.67,0,2,769,,,,116,-6.5,0,0,0,0
70,Mike Richter,35,NYR,55,,24,26,4,157,1675,1518,0.906,2.95,2,10,3195,,,,102,-2.48,0,0,0,4
71,Dwayne Roloson,32,MIN,45,,14,20,7,112,1132,1020,0.901,2.68,5,6.1,2506,,,,107,-7.57,0,0,0,8
72,Patrick Roy*,36,COL,63,,32,23,8,122,1629,1507,0.925,1.94,9,13.3,3773,,,,81,28.27,0,3,3,26
73,Tommy Salo,30,EDM,69,,30,28,10,149,1713,1564,0.913,2.2,6,11.6,4035,,,,94,9.02,0,1,1,2
74,Corey Schwab,31,TOR,30,,12,10,5,75,707,632,0.894,2.73,1,3.2,1646,,,,115,-9.78,0,0,0,2
75,Steve Shields,29,MDA,33,,9,20,2,79,850,771,0.907,2.67,0,5.2,1777,,,,101,-0.59,0,0,0,4
76,Peter Skudra,28,VAN,23,,10,8,2,47,508,461,0.907,2.42,1,3.1,1166,,,,100,-0.14,0,0,0,2
77,Garth Snow,32,NYI,25,,10,7,2,55,549,494,0.9,2.72,2,2.9,1217,,,,109,-4.36,0,0,0,14
78,Jamie Storr,26,LAK,19,,9,4,3,28,360,332,0.922,1.9,2,2.8,886,,,,84,5.21,0,0,0,4
79,Jose Theodore,25,MTL,67,,30,24,10,136,1972,1836,0.931,2.11,7,17.4,3864,,,,75,45.91,0,2,2,2
80,Jocelyn Thibault,27,CHI,67,,33,23,9,159,1626,1467,0.902,2.49,6,9,3838,,,,106,-9,0,0,0,2
81,Vesa Toskala,24,SJS,1,,0,0,0,0,2,2,1,0,0,0,10,,,,,,0,0,0,0
82,Ron Tugnutt,34,CBJ,44,,12,27,3,119,1195,1076,0.9,2.85,2,6.4,2502,,,,108,-8.76,0,1,1,0
83,Marty Turco,26,DAL,31,,15,6,2,53,670,617,0.921,2.09,2,5.1,1519,,,,86,8.81,0,0,0,10
84,Roman Turek,31,CGY,69,,30,28,11,172,1839,1667,0.906,2.53,5,11.1,4081,,,,101,-2.35,0,5,5,4
85,John Vanbiesbrouck,38,NJD,5,,2,3,0,10,117,107,0.915,2,0,0.8,300,,,,,,0,0,0,4
86,Mike Vernon,38,CGY,18,,2,9,1,38,375,337,0.899,2.76,1,1.9,825,,,,110,-3.41,0,3,3,0
87,Tomas Vokoun,25,NSH,29,,5,14,4,66,678,612,0.903,2.69,2,3.8,1471,,,,106,-3.46,0,0,0,2
88,Kevin Weekes,26,TOT,21,,5,9,0,43,511,468,0.916,2.72,2,3.6,950,,,,91,4.14,0,0,0,0
88,Kevin Weekes,26,TBL,19,,3,9,0,40,470,430,0.915,2.89,2,3.3,830,,,,92,3.36,0,0,0,0
88,Kevin Weekes,26,CAR,2,,2,0,0,3,41,38,0.927,1.5,0,0.3,120,,,,,,0,0,0,0
89,Kay Whitmore,34,CGY,1,,0,1,0,3,21,18,0.857,3.08,0,0,58,,,,,,0,0,0,0
